"Sexual assault, Victimisation rate(a), Australia"
,"Sexual assault"
"1993","69.1"
"1994","71.5"
"1995","72.8"
"1996","79.9"
"1997","78.2"
"1998","78.9"
"1999","78.1"
"2000","86.2"
"2001","91.2"
"2002","96.0"
"2003","91.4"
"2004","96.2"
"2005","92.7"
"2006","95.6"
"2007","95.8"
"2008","94.1"
"2009","87.3"
"2010","85.6"
"2011","83.3"
"2012","85.6"
"2013","86.6"
"2014","88.4"
"2015","92.2"
"2016","95.3"
"2017","105.1"
"2018","105.4"
"2019","106.0"

"a. Rate per 100,000 persons."

"Source: Australian Bureau of Statistics, 27 years of Recorded Crime – Victims data 16/09/2020"